AccountName,AgreementID,SubAgreement,SalesAPN,BillingAPN,Address1,Address2,City,State,ZipCode,EffectiveDate,Brand
SBC COMMUNICATIONS,C0332,1,00100206,00100206,1000 DES PERES,SUITE 110,ST LOUIS,MO,63131,11/30/2011,AVL
SBC COMMUNICATIONS,C0332,2,00100206,00100206,1000 DES PERES,SUITE 110,ST LOUIS,MO,63131,11/30/2013,AVL
SBC COMMUNICATIONS,C0332,3,00100206,00100206,1000 DES PERES,SUITE 110,ST LOUIS,MO,63131,11/30/2013,AVL
SBC COMMUNICATIONS,C0332,4,00100206,00100206,1000 DES PERES,SUITE 110,ST LOUIS,MO,63131,11/30/2013,AVL
SBC COMMUNICATIONS,C0332,5,00100206,00100206,1000 DES PERES,SUITE 110,ST LOUIS,MO,63131,6/1/2013,AVL
DELCO REMY DIVISION,C0226,1,00101057,00101057,C/O ARGONAUT REALTY,485 W MILWAUKEE AVENUE,DETROIT,MI,48202,8/1/2007,AVL
DELCO REMY DIVISION,C0226,2,00101057,00101057,C/O ARGONAUT REALTY,485 W MILWAUKEE AVENUE,DETROIT,MI,48202,4/1/2007,AVL
DELCO REMY DIVISION,C0226,3,00101057,00101057,C/O ARGONAUT REALTY,485 W MILWAUKEE AVENUE,DETROIT,MI,48202,1/1/2009,AVL
M K FERGUSON CO,C1673,1,00101337,00101337,1500 W 3RD STREET,,CLEVELAND,OH,44113,7/1/2006,AVL
M K FERGUSON CO,C1673,3,00101337,00101337,1500 W 3RD STREET,,CLEVELAND,OH,44113,7/1/2002,AVL
M K FERGUSON CO,C1673,4,00101337,00101337,1500 W 3RD STREET,,CLEVELAND,OH,44113,7/1/2002,AVL
M K FERGUSON CO,C1673,6,00101337,00101337,1500 W 3RD STREET,,CLEVELAND,OH,44113,7/1/2002,AVL
AGFA CORP,C7360,1,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,2,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,3,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,4,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,5,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,6,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,7,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,8,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,9,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,10,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,11,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,12,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,13,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
AGFA CORP,C7360,14,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,10/16/2003,AVL
AGFA CORP,C7360,15,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,6/16/2004,AVL
AGFA CORP,C7360,16,00101876,00101876,C/O BARRY & LLOYD,P O BOX 920,NORWOOD,MA,02062,3/15/2003,AVL
