Name,Code,CA Agency Code,Address,City,State,Zip,Phone,Fax,Email,Brand,VanLineID
"NAVL Training Agency",2222222,,700 Oakmont Ln.,Westmont,IL,60559,6305700000,,test@test.com,NAVL,9
"AVL Training Agency",2222000,,700 Oakmont Ln.,Westmont,IL,60559,6305700000,,joseph.long@sirva.com,AVL,1
"North Coast Moving & Storage Company, LLC",0003000,,13045 S.E. 32nd Street,Bellevue,WA,98005,425-643-2100,425-644-2610,smorrow@ncoastallied.com,AVL,1
"A-1 Moving & Storage, Inc.",0005000,,706 Oak Lane,Rolla,MO,65401,573-364-2100,573-364-8359,info@a1moving.net,AVL,1
Whalen's Moving & Storage Co. LLC,0007000,,39 Kiscona Rd,Mount Kisco,NY,10549,914-241-2799,914-241-3148,rcolwell@movewhalens.com,AVL,1
ABC Moving and Storage Company,0008000,,12 Bockes Road,Hudson,NH,03051,603-881-9444,603-881-5793,todd@abcmoving.com,AVL,1
"ABC Relocation Services, Inc.",0008003,,241 Willard St.,Leominster,MA,01453,978-368-1023,978-368-7079,cheryl@abcmoving.com,AVL,1
ABC Moving & Storage,0008004,,75 Pinetree Industrial Park,Portland,ME,04102,207-228-0275,207-775-6198,info@abcmoving.com,AVL,1
"Advance Transportation Co., Inc.",0012000,,1445 North 32nd Street,Philadelphia,PA,19121,215-765-6500,215-236-6203,caroline.lavin@advancetrans.com,AVL,1
"Azalea Moving & Storage, Inc.",0016000,,7131 Bryhawke Circle,Charleston,SC,29418,843-767-4888,843-767-9691,josh@azaleamoving.com,AVL,1
"Allegheny Valley Transfer Co., Inc.",0017000,,1512 Lebanon Church Road,Pittsburgh,PA,15236,412-653-1200,412-892-2648,alleghenyallied@aol.com,AVL,1
"Ace Moving & Storage, Inc.",0019000,,1800 Industrial Circle,West Des Moines,IA,50265,515-225-6464,515-225-9812,chrisw@acemoving-storage.com,AVL,1
"Carey Moving & Storage of Knoxville, Inc.",0020000,,4013 Henson Rd.,Knoxville,TN,37921,865-862-4129,865-588-9381,knoxville@careymoving.com,AVL,1
"Carey Moving & Storage of Asheville, Inc.",0022000,,15 Weston Road Ext.,Arden,NC,28704,828-684-8575,828-687-9135,asheville@careymoving.com,AVL,1
American Household Storage Co.,0025000,,1665 Main Street,Buffalo,NY,14209,716-881-7000,716-883-0628,lisap@americanhh.com,AVL,1
Andy Anderson Van Lines,0031000,,4650 South Treadaway Blvd.,Abilene,TX,79602,325-695-1684,325-691-5089,hans.angermueller@colemanallied.com.,AVL,1
"Atlas Transfer & Storage Co., Inc.",0042000,3679,13026 Stowe Drive,Poway,CA,92064,858-513-3800,858-513-3900,sales@atlasallied.com,AVL,1
"Atlas Transfer & Storage Co., Inc.",0042002,3681,992 Rancheros Drive,San Marcos,CA,92069,760-745-2311,760-745-4771,sales@atlasallied.com,AVL,1
"A.B.C. Moving & Storage Co., Inc.",0047000,,9960 Buffalo Speedway,Houston,TX,77054,713-526-2341,713-526-8654,move@abcallied.com,AVL,1
"Astro Moving & Storage Co., Inc.",0049000,,30 Jefferson Avenue,Saint James,NY,11780,631-584-7700,631-584-8011,info@astromoving.com,AVL,1
Astro Law's Moving & Storage,0053000,,1100 - 17th Street,Vero Beach,FL,32960,772-562-6600,772-562-0103,tmorillo@alliedagent.com,AVL,1
"Apollo Moving & Storage, Inc.",0057000,,3014 New Butler Road,New Castle,PA,16101,724-658-9017,724-924-2551,apollomoving@aol.com,AVL,1
Golden Gate Moving and Storage,0077000,,5024 Forni Drive,Concord,CA,94520,925-676-2998,925-676-3074,jshurr@goldengatemoving.com,AVL,1
"Carey Moving & Storage of Charlotte, Inc.",0086000,,500 Corporate Blvd.,Rock Hill,SC,29730,803-324-3178,803-324-2189,charlotte@careymoving.com,AVL,1
"Griffin Moving & Storage Co., Inc.",0099000,,7051 S.W. 21st Place,Fort Lauderdale,FL,33317,954-473-5200,954-473-9266,griffinavl@aol.com,AVL,1
"Bailey Moving & Storage Co., Inc.",0101000,,200 S.W. Jackson St.,Topeka,KS,66603,785-232-0521,785-232-4125,smurphy@baileymoving.com,AVL,1
"Bailey Moving & Storage Co., Inc.",0101002,,810 Levee Drive,Manhattan,KS,66502,785-776-8844,785-776-0136,t.bailey@baileymoving.com,AVL,1
Bailey's Moving & Storage,0103000,,400 North 700 West,North Salt Lake,UT,84054,801-292-1466,801-298-4967,cyndib@baileysallied.com,AVL,1
Bailey's Moving & Storage,0103001,,1580 South State,Orem,UT,84058,801-225-4545,801-221-9104,philr@baileysallied.com,AVL,1
"Berger Transfer & Storage, Inc.",0104000,,501 Burning Tree Road,Fullerton,CA,92833,714-738-3044,714-738-6960,move@bergerallied.com,AVL,1
Bailey's Moving & Storage,0116000,3731,11755 E. Peakview Avenue,Englewood,CO,80111,303-799-1810,303-799-5148,nancy@baileysallied.com,AVL,1
Bailey's Moving & Storage,0116001,,2838 North El Paso,Colorado Springs,CO,80907,719-632-1539,719-632-5146,stephew@baileysallied.com,AVL,1
Behrens Moving Company,0119000,,500 West Rawson Avenue,Oak Creek,WI,53154,414-764-5900,414-764-5909,behrens@alliedagent.com,AVL,1
"Bertsch Moving and Storage Co., Inc.",0121000,,"900 McKinley Street, Unit B",Eugene,OR,97402,541-344-6257,541-344-6250,ariel@Bertsch-Allied.com,AVL,1
"Bertsch Moving and Storage Co., Inc.",0121001,,155 S.E. Lilly,Corvallis,OR,97330,541-754-0222,541-754-0225,dakon@bertsch-allied.com,AVL,1
"Bertsch Moving & Storage Co. of Salem, Inc.",0121002,,2155 Claxter Road N.E.,Salem,OR,97303,503-393-2125,503-393-2114,anna@bertsch-allied.com,AVL,1
Beverly Hills Transfer & Storage Co,0123000,,15500 South Main Street,Gardena,CA,90248,310-276-1121,310-538-0416,jgomez@beverlyhillstransfer.com,AVL,1
"Beverly Hills Transfer & Storage, Co., Inc.",0123001,,1919 Third Avenue,Los Angeles,CA,90018,310-532-1121,310-538-0416,bhtdispatch@beverlyhillstransfer.com,AVL,1
"Beverly Hills Transfer & Storage Co., Inc.",0123003,,15500 South Main Street Corporate Headquarters,Gardena,CA,90248,310-532-1121,310-538-0416,jgomez@beverlyhillstransfer.com,AVL,1
Blanchette Moving & Storage Co.,0135000,,32 Lexington Street,Lewiston,ME,04240,207-782-7429,207-782-1613,alliedofmaine@aol.com,AVL,1
"Bonded Transportation, Inc.",0144000,,301 South Myrick Street,Pensacola,FL,32505,850-438-4694,850-434-9053,jlong@bondedtrans.com,AVL,1
"Bonded Transportation, Inc.",0144001,,35 Hollywood Blvd.,Fort Walton Beach,FL,32548,850-244-4169,850-244-5230,broberts@bondedtrans.com,AVL,1
Bailey's Moving & Storage,0148000,3770,1257 Winters Avenue,Grand Junction,CO,81501,970-241-3636,970-241-2397,patt@baileysallied.com,AVL,1
"Brandon Transfer & Storage Co., Inc.",0150000,,2900 Tuxedo Avenue,West Palm Beach,FL,33405,561-683-5000,561-697-8991,gr8tmove@bellsouth.net,AVL,1
Carey Moving & Storage,0151000,,930 Monks Grove Road,Spartanburg,SC,29303,864-578-1400,864-578-1403,bcarey@careymoving.com,AVL,1
