Agent Name,Agent Number,Address1,Address2,City,Province,PostalCode,Country,Telephone,Fax,EmailAddress,Vanline,Contact
ROCKBRUNE BROTHERS LIMITED,89,725 FINLEY AVENUE,,AJAX,ON,L1S 3T1,Canada,9056834321,9056833972,move@rockbrune.on.ca,UVL,WM.ROCKBRUNE
STE. FOY MOVING INC.,174,445 RUE MENDEL,,STE-FOY,QC,G1X 4B9,Canada,4188721404,4188722464,info@demenagementstefoy.com,UVL,LUC PROVENCHER
CANADA MOVING & STORAGE,187,490 LUCAS AVE,"PO BOX 10, STN MAIN",WINNIPEG,MB,R3C 2G1,Canada,2046328787,2049434721,sales@canadamoving.com,UVL,PETER ARMSTRONG
FIDLER MOVING AND STORAGE,196,575 FIRST ST.,,HANOVER,ON,N4N 3C4,Canada,5193647414,5193640137,info@fidlermoving.com,UVL,PAUL CHANTRY
GALLANT MOVING AND STORAGE,206,125 RYAN ST.,,SUMMERSIDE,PE,C1N 4K2,Canada,9024369236,9024367612,dale@gallantmoving.com,UVL,DALE CRAIG
BOYD MOVING & STORAGE LTD.,222,1255 LEEDS AVENUE,,OTTAWA,ON,K1B 3W2,Canada,6132444444,6132440608,info@boyd.ca,UVL,DALE BOOTH
MCKEE MOVING (TISDALE) LTD.,233,808 - 95TH AVENUE,,TISDALE,SK,S0E 1T0,Canada,3068732357,3068734755,mckee.moving@sasktel.net,UVL,TIM TAYLOR
BANDSTRA TRANSPORTATION SYS.,274,3111 BLAKEBURN ST.,,TERRACE,BC,V8G 3J1,Canada,2506352728,2506357197,sbandstra@bandstra.com,UVL,SID BANDSTRA
CANADA MOVING & STORAGE,280,938 DOUGLAS ST.,,BRANDON,MB,R7A 7B2,Canada,2047298647,2047270963,canadamoving@mts.net,UVL,MIKE BECKER
ROCKBRUNE BROTHERS LIMITED,322,RR#2 (HWY 90 WEST),,BARRIE,ON,L4M 4T5,Canada,7057280814,7057285169,joerockbrune@bellnet.ca,UVL,JOE ROCKBRUNE
CASSIDY'S TRANSFER & STORAGE,330,1001 MACKAY STREET,,PEMBROKE,ON,K8A 3H7,Canada,6137356881,6137354495,cassidys@nrtco.net,UVL,DALE ROBINSON
L. RICHARDS MOVING & CARTAGE,338,1657 RIVERSIDE DRIVE,,TIMMINS,ON,P4N 7C3,Canada,7052677111,7052687454,troy@richardsmoving.ca,UVL,RANDY RICHARDS
